Time,CPU,Memory,Temperature,Power
1,7.10%,394,47.2,  1.08 W   
2,385.60%,492,67.2,  6.01 W   
3,384.00%,510,72,  5.99 W   
4,294.00%,527,74.5,  4.67 W   
5,353.60%,536,75,  5.63 W   
6,341.70%,539,75.4,  5.33 W   
7,380.90%,540,75.9,  6.12 W   
8,387.00%,537,77.4,  6.04 W   
9,354.60%,549,77.4,  5.62 W   
10,384.40%,548,78.8,  6.00 W   
11,387.20%,548,77.9,  6.04 W   
12,394.00%,552,77.4,  6.15 W   
13,381.30%,551,78.4,  5.95 W   
14,388.10%,557,78.8,  6.05 W   
15,389.20%,550,79.3,  6.07 W   
16,383.90%,548,79.3,  5.99 W   
17,376.70%,551,78.8,  6.01 W   
18,387.00%,551,77.9,  6.04 W   
19,348.40%,550,78.4,  5.44 W   
20,335.80%,542,77.9,  5.36 W   
21,330.10%,551,78.8,  5.15 W   
22,382.50%,550,77.9,  5.97 W   
23,361.70%,568,77.9,  5.79 W   
24,361.20%,593,78.4,  5.63 W   
25,379.00%,595,77.9,  5.99 W   
26,344.20%,593,78.4,  5.37 W   
27,375.40%,592,77.4,  5.86 W   
28,366.00%,591,78.8,  5.82 W   
29,358.00%,594,77.4,  5.59 W   
30,348.70%,590,77.9,  5.44 W   
31,377.00%,592,77.4,  6.05 W   
32,388.70%,590,77.9,  6.07 W   
33,385.50%,593,78.4,  6.01 W   
34,372.30%,575,77.9,  5.87 W   
35,355.60%,573,77.4,  5.55 W   
36,380.00%,571,76.9,  6.04 W   
37,242.50%,571,70.6,  3.79 W     
